MassiveID	filename	Study_SubjectIdentifierAsRecorded	Study_UniqueSubjectID	ATTRIBUTE_Subject_Sex	Subject_AgeInYears	ATTRIBUTE_Subject_LifeStage	Subject_Country	ATTRIBUTE_Subject_HumanPopulationDensity	Analysis_SampleCollectionMethod	Analysis_SampleExtractionMethod	Analysis_InternalStandardsUsed	ATTRIBUTE_Analysis_MassSpectrometer	Analysis_IonizationSourceAndPolarity	Analysis_ChromatographyAndPhase	Analysis_YearOfAnalysis	Study_DayAsReported	Study_DayRelative	Study_TimepointMin	Subject_Health	Study_SampleTypeasRecorded	Study_SampleTermsofPosition	ATTRIBUTE_Curated_SampleType	ATTRIBUTE_Curated_SampleType_Sub1	ATTRIBUTE_Curated_BodyPartOntologyName	ATTRIBUTE_Curated_BodyPartOntologyIndex	Curated_DiseaseCommonName	ATTRIBUTE_Curated_DiseaseOntologyIndex	Curated_Comorbidity_ListDOIDs	ATTRIBUTE_kingdom	ATTRIBUTE_phylum	ATTRIBUTE_class	ATTRIBUTE_order	ATTRIBUTE_family	ATTRIBUTE_genus	ATTRIBUTE_species	ATTRIBUTE_simplified_class
MSV000083351	BAX83_x6_BH5_01_14793.mzXML	BAX84	MSV000083351_BAX84	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	casuariiformes	casuariidae	dromaius	dromaius novaehollandiae	birds
MSV000083351	BAX78_x6_BH1_01_14788.mzXML	BAX78	MSV000083351_BAX78	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	perciformes	chaetodontidae	chaetodon	chaetodon melannotus	fish
MSV000083351	BAX57_x6_BF2_01_14765.mzXML	BAX57	MSV000083351_BAX57	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	perissodactyla	tapiridae	tapirus	tapirus bairdii	mammal
MSV000083351	BAX24_x6_BC2_01_14727.mzXML	BAX24	MSV000083351_BAX24	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_amphibia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	amphibia	anura	megophryidae	megophrys	megophrys nasuta	amphibian
MSV000083351	bax11_x6_ba11_01_14712.mzXML	BAX11	MSV000083351_BAX11	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	charadriiformes	recurvirostridae	himantopus	himantopus mexicanus	birds
MSV000083351	BAX69_x6_BG3_01_14778.mzXML	BAX69	MSV000083351_BAX69	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	charadriiformes	burhinidae	burhinus	burhinus grallarius	birds
MSV000083351	BAX70_x6_BG4_01_14779.mzXML	BAX70	MSV000083351_BAX70	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	charadriiformes	alcidae	fratercula	fratercula cirrhata	birds
MSV000083351	BAX34_x6_BD1_01_14738.mzXML	BAX34	MSV000083351_BAX34	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	primates	atelidae	alouatta	alouatta sara	mammal
MSV000083351	BAX74_x6_BG8_01_14783.mzXML	BAX74	MSV000083351_BAX74	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	ciconiiformes	ciconiidae	leptoptilos	leptoptilos crumenifer	birds
MSV000083351	BAX27_x6_BC5_01_14730.mzXML	BAX27	MSV000083351_BAX27	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	coliiformes	coliidae	urocolius	urocolius macrourus	birds
